@relation output

@attribute 'status pozyczki' {splacona_cz,odmowa,splacona,windykacja,windykacja_sp}
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {kobieta,mężczyzna}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
splacona_cz,300,70,mężczyzna,13,1420,0,52,48,4
splacona_cz,895.59,47,mężczyzna,11,2500,0,203,48,4
splacona_cz,300,52,kobieta,11,1400,0,160,48,0
splacona_cz,500,62,kobieta,13,962,0,64,48,3
splacona_cz,300,71,mężczyzna,13,1426,4,76,48,0
splacona_cz,300,63,kobieta,13,1100,1,104,48,0
splacona_cz,200,48,kobieta,11,967.64,3,318,48,0
splacona_cz,700,62,kobieta,13,3700,4,26,48,0
splacona_cz,300,71,mężczyzna,13,1772.53,1,279,48,4
splacona,300,70,kobieta,13,1016,0,188,48,0
windykacja,348.19,59,mężczyzna,11,2947,4,52,48,4550
splacona_cz,407.31,68,kobieta,16,980,4,130,48,9
splacona_cz,500,61,kobieta,13,1362,4,55,48,14
splacona,300,72,kobieta,13,2100,1,159,48,282
splacona,500,62,kobieta,13,1900,4,87,48,0
splacona_cz,328,60,mężczyzna,12,1000,4,11,14,0
splacona_cz,328.32,50,kobieta,12,1000,4,31,34,0
splacona,277.34,39,kobieta,11,1770,4,86,48,2
windykacja_sp,500,57,kobieta,11,2249.14,0,240,48,155
splacona,350,78,mężczyzna,13,1519,1,254,48,0
splacona_cz,500,53,mężczyzna,11,2080,0,318,48,0
splacona,200,49,kobieta,17,1079,0,29,38,0
splacona_cz,200,56,kobieta,98,980,3,10,48,0
splacona,400,50,kobieta,11,1577.42,1,205,48,23
splacona_cz,700,61,kobieta,13,2066,4,129,48,2
windykacja,800,56,kobieta,13,580,4,119,48,4550
splacona_cz,600,51,kobieta,11,3200,4,54,48,0
splacona_cz,300,45,mężczyzna,12,670,4,9,11,0
splacona_cz,200,54,kobieta,11,1400,4,117,48,2
splacona_cz,200,39,mężczyzna,11,1300,4,45,48,0
splacona_cz,1000,69,kobieta,13,2291,1,71,48,0
splacona_cz,284.19,38,kobieta,98,1200,4,46,48,2
splacona_cz,300,46,kobieta,11,900,4,93,48,1
splacona_cz,200,58,kobieta,16,634,3,51,48,0
odmowa,400,42,kobieta,99,730,0,3,6,0
odmowa,300,63,kobieta,13,1409,0,61,48,0
splacona_cz,200,74,kobieta,13,1026,4,247,48,1
splacona_cz,296,59,kobieta,13,1658,4,29,48,0
splacona_cz,200,68,kobieta,13,803.86,4,158,48,1
splacona_cz,250,42,kobieta,99,2290.55,1,18,20,0
splacona_cz,300,71,mężczyzna,13,562,0,81,48,1
splacona_cz,200,63,mężczyzna,13,1287.66,3,96,48,0
splacona,400,53,kobieta,11,1300,0,34,48,265
splacona_cz,300,46,mężczyzna,11,1360,0,120,48,0
splacona_cz,200,65,kobieta,13,670,0,66,48,0
splacona_cz,799.85,33,kobieta,11,2050,0,29,48,7
splacona_cz,400,60,kobieta,16,1411,1,66,48,2
splacona_cz,200,37,kobieta,12,599.03,3,19,21,0
odmowa,300,46,kobieta,12,989.89,0,6,10,0
splacona_cz,300,63,kobieta,13,1233,3,123,48,0
splacona_cz,800,55,kobieta,13,3440,4,51,48,0
splacona,200,71,kobieta,13,1185.33,4,224,48,1
splacona_cz,659.87,65,mężczyzna,13,3040,0,201,48,1
splacona_cz,400,60,kobieta,13,1500,0,60,48,0
splacona_cz,200,31,kobieta,12,1032.34,4,5,11,7
splacona_cz,200,60,kobieta,13,1635,4,120,48,1
splacona_cz,218.32,61,kobieta,13,975,4,27,48,7
splacona,900,33,kobieta,11,2200,0,37,48,0
splacona_cz,700,61,kobieta,13,1977,2,55,48,0
splacona_cz,315.49,73,mężczyzna,13,960,4,140,48,6
splacona_cz,200,62,mężczyzna,13,1162,4,221,48,1
splacona_cz,700,55,kobieta,16,2300,5,63,48,0
splacona_cz,800,35,mężczyzna,12,1500,1,33,35,10
odmowa,200,23,mężczyzna,99,1300,0,1,3,0
splacona,375.81,29,mężczyzna,11,1888.27,0,77,48,10
splacona_cz,300,63,kobieta,13,917,2,76,48,0
splacona_cz,216.24,45,kobieta,11,1344.9,3,46,48,0
splacona_cz,1000,41,kobieta,98,6000,0,17,48,0
splacona_cz,400,62,mężczyzna,16,1313.41,4,28,48,4
odmowa,1000,39,kobieta,11,2200,0,204,48,0
splacona_cz,200,73,kobieta,13,866.46,1,195,48,0
splacona_cz,400,54,kobieta,11,2800,4,60,48,1
splacona_cz,495.15,38,mężczyzna,11,2470,1,66,48,2
splacona,600,46,mężczyzna,11,2000,0,51,48,0
splacona,350,61,mężczyzna,13,1503,0,166,48,12
splacona_cz,235.97,65,mężczyzna,12,1100,4,22,36,5
splacona,600,68,kobieta,13,2120,4,119,48,0
splacona_cz,500,70,kobieta,13,1200,4,119,48,9
splacona_cz,460,65,kobieta,13,1013.74,4,113,48,2
odmowa,300,67,kobieta,13,781.21,0,45,48,0
splacona_cz,400,58,kobieta,11,1500,3,85,48,3
odmowa,300,76,mężczyzna,13,1580,0,132,48,0
splacona_cz,350,56,kobieta,17,547.89,1,56,48,4
splacona_cz,300,66,kobieta,13,1031,0,121,48,0
splacona_cz,700,65,kobieta,13,930,5,131,48,3
splacona,600,51,mężczyzna,12,2673.17,4,112,48,3
